******,******,******,학년,교과/구분,개설대학,교과목/번호,교과목명,학점,강의,실습,담당/교수,강의시간,강의시간/(실제시간),강의실,수강/정원,수강/신청,수강꾸러미/신청,수강꾸러미/신청가능여부,비고,강의방식,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,*,교양,인문대학,CLTR210005,명저읽기와 토론,3,3,0,이재현,화5B/6A/6B/목5B/6A/6B,화13:30 ~ 15:00/목13:30 ~ 15:00,인문대학-308,35,34,34,Y,전학년선택/인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,*,교양,인문대학,CLTR210006,명저읽기와 토론,3,3,0,조헌구,월1A/1B/2A/수2B/3A/3B,월09:00 ~ 10:30/수10:30 ~ 12:00,대학원동-302,30,29,21,Y,전학년선택/인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,*,교양,인문대학,CLTR210007,명저읽기와 토론,3,3,0,이규필,화8B/9A/9B/목8B/9A/9B,화16:30 ~ 18:00/목16:30 ~ 18:00,인문한국진흥관-102,30,15,9,Y,전학년선택/인문교양,,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,*,교양,자연과학대학,CLTR210012,명저읽기와 토론,3,3,0,염은별,화2B/3A/3B/목1A/1B/2A,화10:30 ~ 12:00/목09:00 ~ 10:30,생명공학관(교양과정동)-315,30,7,4,Y,전학년선택/인문교양,,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,*,교양,사범대학,CLTR210024,명저읽기와 토론,3,3,0,손철성,화7A/7B/8A/목7A/7B/8A,화15:00 ~ 16:30/목15:00 ~ 16:30,제4합동강의동-210,30,30,15,Y,전학년선택/인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,*,교양,생활과학대학,CLTR210027,명저읽기와 토론,3,3,0,김춘경,월1A/1B/2A/수2B/3A/3B,월09:00 ~ 10:30/수10:30 ~ 12:00,생활과학대학-413,30,29,10,Y,전학년선택/인문교양,,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,*,교양,생태환경대학,CLTR210037,명저읽기와 토론,3,3,0,이정래/성건묵,화8B/9A/9B/목8B/9A/9B,화16:30 ~ 18:00/목16:30 ~ 18:00,상주캠퍼스 도서관 및 10호관-201,30,7,5,Y,전학년선택/상주캠퍼스/인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,*,교양,인문대학,CLTR210039,명저읽기와 토론,3,3,0,이강은/박미정,수8B/9A/9B/금8B/9A/9B,수16:30 ~ 18:00/금16:30 ~ 18:00,인문대학-308,30,20,6,Y,전학년선택/인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,*,교양,사범대학,CLTR210040,명저읽기와 토론,3,3,0,김용수,금1A/1B/2A/금2B/3A/3B,금09:00 ~ 10:30/금10:30 ~ 12:00,제4합동강의동-301,30,26,13,Y,전학년선택/인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,교양,인문대학,CLTR210003,명저읽기와 토론,3,3,0,우병국/안찬순,화1A/1B/2A/목2B/3A/3B,화09:00 ~ 10:30/목10:30 ~ 12:00,인문한국진흥관-106,30,1,2,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,교양,인문대학,CLTR210004,명저읽기와 토론,3,3,0,황보영조,월5B/6A/6B/금5B/6A/6B,월13:30 ~ 15:00/금13:30 ~ 15:00,인문대학-313,30,24,9,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,교양,인문대학,CLTR210008,명저읽기와 토론,3,3,0,서광진/박미정,월7A/7B/8A/금7A/7B/8A,월15:00 ~ 16:30/금15:00 ~ 16:30,인문한국진흥관-104,30,30,19,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,교양,사회과학대학,CLTR210009,명저읽기와 토론,3,3,0,이경은/김유진,월7A/7B/8A/수8B/9A/9B,월15:00 ~ 16:30/수16:30 ~ 18:00,사회과학대학-251,30,30,24,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,교양,사회과학대학,CLTR210010,명저읽기와 토론,3,3,0,김유진/이경은,월7A/7B/8A/수8B/9A/9B,월15:00 ~ 16:30/수16:30 ~ 18:00,사회과학대학-201,30,30,17,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,교양,예술대학,CLTR210021,명저읽기와 토론,3,3,0,김호정/박창준,화7A/7B/8A/목7A/7B/8A,화15:00 ~ 16:30/목15:00 ~ 16:30,조형관(제3합동강의동)-102,30,29,8,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,교양,예술대학,CLTR210022,명저읽기와 토론,3,3,0,김호정/박창준,화8B/9A/9B/목8B/9A/9B,화16:30 ~ 18:00/목16:30 ~ 18:00,조형관(제3합동강의동)-101,30,15,13,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,교양,예술대학,CLTR210023,명저읽기와 토론,3,3,0,조철희,월8B/9A/9B/금8B/9A/9B,월16:30 ~ 18:00/금16:30 ~ 18:00,조형관(제3합동강의동)-102,30,19,11,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,교양,의과대학,CLTR210028,명저읽기와 토론,3,3,0,김문규/윤영란/성숙진,수8B/9A/9B/금8B/9A/9B,수16:30 ~ 18:00/금16:30 ~ 18:00,대구(동인동)캠퍼스 의학 전문대학원(의대본관)-125,40,33,27,Y,인문교양,,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,교양,의과대학,CLTR210029,명저읽기와 토론,3,3,0,이덕희/김인겸/여진석/최제용,수8B/9A/9B/금8B/9A/9B,수16:30 ~ 18:00/금16:30 ~ 18:00,대구(동인동)캠퍼스 의대신관및강의동-N138,40,38,28,Y,인문교양,,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,교양,의과대학,CLTR210030,명저읽기와 토론,3,3,0,최은경/이종명/권태환,수8B/9A/9B/금8B/9A/9B,수16:30 ~ 18:00/금16:30 ~ 18:00,대구(동인동)캠퍼스 의대신관및강의동-N301,40,35,27,Y,인문교양,,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,교양,치과대학,CLTR210031,명저읽기와 토론,3,3,0,김성교/박의균/홍미희/신홍인,금7A/7B/8A/금8B/9A/9B,금15:00 ~ 16:30/금16:30 ~ 18:00,대구(동인동)캠퍼스 복지후생동-303,30,24,16,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,교양,치과대학,CLTR210032,명저읽기와 토론,3,3,0,신홍인/홍미희/윤동호/유원재,금7A/7B/8A/금8B/9A/9B,금15:00 ~ 16:30/금16:30 ~ 18:00,대구(동인동)캠퍼스 복지후생동-304,30,17,16,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,교양,치과대학,CLTR210033,명저읽기와 토론,3,3,0,윤동호/유원재/김성교/박의균,금7A/7B/8A/금8B/9A/9B,금15:00 ~ 16:30/금16:30 ~ 18:00,대구(동인동)캠퍼스 복지후생동-307,30,17,13,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,기본소양,IT대학,CLTR210034,명저읽기와 토론,3,3,0,박종후,화5B/6A/6B/목5B/6A/6B,화13:30 ~ 15:00/목13:30 ~ 15:00,IT융복합관(IT융복합공학관)-421,35,34,35,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,기본소양,IT대학,CLTR210035,명저읽기와 토론,3,3,0,이준우,화5B/6A/6B/목5B/6A/6B,화13:30 ~ 15:00/목13:30 ~ 15:00,IT융복합관(IT융복합공학관)-427,35,35,37,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,교양,생태환경대학,CLTR210036,명저읽기와 토론,3,3,0,권찬호,화5B/6A/6B/목5B/6A/6B,화13:30 ~ 15:00/목13:30 ~ 15:00,상주캠퍼스 도서관 및 10호관-201,30,28,22,Y,상주캠퍼스/인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,1,교양,생태환경대학,CLTR210038,명저읽기와 토론,3,3,0,권찬호,목11A/11B/목12A/12B/목13A/13B,목19:00 ~ 20:00/목20:00 ~ 21:00/목21:00 ~ 22:00,상주캠퍼스 제6호관-316,2,2,2,Y,상주캠퍼스/인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,2,교양,자연과학대학,CLTR210011,명저읽기와 토론,3,3,0,김창민,화7A/7B/화8A/8B/화9A/9B,화15:00 ~ 16:00/화16:00 ~ 17:00/화17:00 ~ 18:00,화학관-217,30,9,7,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,2,교양,자연과학대학,CLTR210013,명저읽기와 토론,3,3,0,이준모,화8B/9A/9B/목8B/9A/9B,화16:30 ~ 18:00/목16:30 ~ 18:00,제2과학관-301,30,0,1,Y,인문교양,,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,2,교양,농업생명과학대학,CLTR210016,명저읽기와 토론,3,3,0,문광덕,월1A/1B/2A/수2B/3A/3B,월09:00 ~ 10:30/수10:30 ~ 12:00,농대3호관-521,30,0,0,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,3,교양,농업생명과학대학,CLTR210014,명저읽기와 토론,3,3,0,윤병욱/이정동/김윤하,월10A/10B/11A/수10A/10B/11A,월18:00 ~ 19:30/수18:00 ~ 19:30,농대4호관(농업생명과학관)-302,30,18,13,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 독서와토론,NULL,3,교양,농업생명과학대학,CLTR210019,명저읽기와 토론,3,3,0,한상열,화8B/9A/9B/목8B/9A/9B,화16:30 ~ 18:00/목16:30 ~ 18:00,농대1호관-417,30,4,2,Y,인문교양,,
******,******,******,학년,교과/구분,개설대학,교과목/번호,교과목명,학점,강의,실습,담당/교수,강의시간,강의시간/(실제시간),강의실,수강/정원,수강/신청,수강꾸러미/신청,수강꾸러미/신청가능여부,비고,강의방식,
